Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Rain Status [](Monthly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Monthly),BLOCK1:ZONE1:Zone People Occupant Count [](Monthly),BLOCK1:ZONE1:Zone People Radiant Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone People Total Heating Energy [J](Monthly),BLOCK1:ZONE1:Zone People Total Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone Lights Electric Power [W](Monthly),BLOCK1:ZONE1:Zone Lights Electric Energy [J](Monthly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Monthly),BLOCK1:ZONE1_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Monthly),BLOCK1:ZONE1:Zone Mean Radiant Temperature [C](Monthly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Monthly),BLOCK1:ZONE1:Zone Operative Temperature [C](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Heating Energy [J](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Energy [J](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Monthly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Monthly),BLOCK1:ZONE1:Zone Air Relative Humidity [%](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Rate [W](Monthly),BLOCK1:ZONE1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Rate [W](Monthly) 
 01/31  24:00:00,1.8237903225806456,4.032258064516129E-002,3353.447533466536,0.2661290322580645,6.464170761508196,78906960.0,29.460483870967793,81.01890322580664,217001030.399999,14.817487933081644,0.0,16.29806613809034,17.64290415756099,16.970485147825675,407177603.2256326,0.0,152.0227013237876,0.0,34.217578177472557,410969235.97821179,0.0,410969235.9782198,0.000008448964061165863,153.4383348186273,0.0,153.4383348186305,3.154481803003981e-12 
 02/28  24:00:00,2.3805059523809515,3.125000000000000E-002,4985.650777934286,0.26785714285714287,6.500030592135982,71733600.0,29.65178571428576,81.54500000000019,197273663.99999915,22.002177765358434,0.0,17.23558437480712,18.28924264215091,17.762413508479,229092111.74517785,0.0,94.6974668258838,0.0,37.26568773879984,231667334.83884315,0.0,231667334.83884795,0.000004971258218203332,95.76196049886035,0.0,95.76196049886254,2.054918244958388e-12 
 03/31  24:00:00,5.927284946236562,4.032258064516129E-002,8192.89234345305,0.2782258064516129,6.567228393124913,82493640.0,30.799596774193604,84.7015806451615,226864713.59999893,33.941799976034598,0.0,18.97445815162189,19.73649250570115,19.355475328661514,101070776.07829438,0.0,37.73550480820428,0.0,38.995173812267378,102779432.37806724,0.0,102779432.37806922,0.0000019626475006801087,38.37344398822703,0.0,38.37344398822777,7.327686307796103e-13 
 04/30  24:00:00,10.115416666666658,3.055555555555555E-002,10469.51081541134,0.25,5.674114265999543,71733600.0,27.675000000000048,41.824898389477969,108410136.62552679,54.10257798022241,89.69782011833584,20.519719260787598,20.934701930645994,20.727210595716806,25299544.286403996,10223.928640321,9.760626653705243,0.00394441691370409,41.6041897644735,25813994.193774389,9464.411019966632,25813994.193774977,9464.41102055374,9.959102698215427,0.0036513931404192256,9.959102698215654,0.003651393140645733 
 05/31  24:00:00,13.40349462365591,3.494623655913978E-002,13367.287816946256,0.2782258064516129,5.851879055996422,82493640.0,30.799596774193604,77.13654298428715,206602516.72911424,46.42166663405961,15.027843408447799,23.07489683117867,23.177311935049134,23.12610438311391,21384587.16562592,13291261.015458232,7.9840901902725209,4.962388371960212,35.02775617748879,20413778.571931438,13085588.417919623,20416451.240965215,13088261.086953398,7.621631784621952,4.885599021027339,7.622629644924285,4.886596881329673 
 06/30  24:00:00,16.663055555555549,4.722222222222222E-002,15835.798426172574,0.275,5.6568487339470929,78906960.0,30.442500000000054,68.83824482090462,178428730.57578478,53.21324444782824,30.987331379699179,24.60222417580678,24.32503519563803,24.46362968572245,6322206.47445394,60347131.54137702,2.4391228682306869,23.282072353926325,40.843571413446039,6456522.217213539,68276867.72670016,6457984.52766545,68278330.03715208,2.49094221343115,26.34138415381953,2.49150637641414,26.34194831680251 
 07/31  24:00:00,20.25040322580643,3.091397849462366E-002,13521.56068496863,0.2540322580645161,4.989240262690855,75320280.0,28.121370967741986,66.68646808785828,178613036.12651963,57.10404863730092,24.513929448185146,26.247070058866034,25.656246089823406,25.9516580743447,144516.58755902734,206843211.6978044,0.053956312559374008,77.22640819063784,44.992753760389287,143777.98358194519,238476630.85907413,143830.66185166935,238476683.53734384,0.053680549425756129,89.0369738870498,0.05370021723852648,89.03699355486256 
 08/31  24:00:00,19.875268817204306,1.612903225806452E-002,11986.556727922514,0.2782258064516129,5.5483233169944,82493640.0,30.799596774193604,77.0780868360569,206445947.78169514,43.99591804980728,14.268404079885839,25.678756167492265,25.194917851203653,25.436837009347955,3822462.2762215069,198075723.27104939,1.4271439203335972,73.95300301338455,45.918292867558587,3647786.9266904916,229113274.92206205,3647855.5102052038,229113343.5055767,1.361927615998541,85.54109726779501,1.3619532221494933,85.54112287394594 
 09/30  24:00:00,15.712638888888885,1.388888888888889E-002,9230.224185874007,0.2625,5.464684416304902,75320280.0,29.05875000000005,76.78760875605015,199033481.89568166,40.10602657110271,6.020136466826754,23.48238517054372,23.45487807465473,23.468631622599259,9664821.756693503,22234506.493272883,3.728712097489775,8.578127505120709,42.99692654886885,9816250.070802583,25042200.364022618,9818099.281782372,25044049.57500241,3.7871335149701328,9.66134273303342,3.787846945132088,9.662056163195377 
 10/31  24:00:00,10.622446236559144,4.569892473118280E-002,6605.918187752689,0.2661290322580645,5.888799841384479,78906960.0,29.460483870967793,79.27125756083975,212320136.2509517,25.79976699503758,2.2962505342802346,20.729978648141509,21.287832721483384,21.008905684812445,26498897.267768198,38064.8346553891,9.893554834142848,0.01421178115867275,51.384709521358107,26730343.238602509,34612.06303349556,26730798.505189014,35067.32962000353,9.97996686029066,0.012922663916328984,9.98013683736149,0.013092640987157824 
 11/30  24:00:00,4.683749999999995,4.444444444444445E-002,3833.6811371605954,0.275,6.592736006826307,78906960.0,30.442500000000054,83.71953333333353,217001030.399999,13.934257809986937,0.0,17.948151379183338,18.914449610755918,18.43130049496964,198540412.63162599,0.0,76.59738141652233,0.0,42.67719589580806,200787687.23754195,0.0,200787687.23754708,0.000005089504743554724,77.46438550831098,0.0,77.46438550831293,1.9635434967417912e-12 
 12/31  24:00:00,2.8400537634408629,3.091397849462366E-002,3009.0068689835953,0.2540322580645161,6.170286248863737,75320280.0,28.121370967741986,77.3362258064518,207137347.19999907,14.53289698649238,0.0,16.933571835135309,17.967152469045446,17.45036215209039,262890911.77139155,0.0,98.15222213686961,0.0,40.252359274686977,265641505.1127354,0.0,265641505.11274285,0.00000753023000565073,99.17917604268794,0.0,99.17917604269077,2.8114658025876378e-12 
